anio,detecciones,hectareas,frp_promedio,frp_maximo
2001,13,1753,75,321.4
2002,1,21,12.3,12.3
2003,9,128,25.4,41.4
2004,26,791,62.1,244.4
2005,17,406,34.8,91.7
2006,6,21,33.1,62.3
2007,8,0,29.4,69.5
2008,39,3292,98.6,859.8
2009,1,21,6.4,6.4
2010,19,1924,28,50.7
2011,22,791,38.2,160.1
2012,4,257,43,84.6
2013,6,171,42.6,71.2
2014,6,235,27,50.2
2015,5,192,25.4,75.3
2016,3,107,37.1,43.4
2017,6,150,19.4,59.4
2018,4,21,18.8,52.1
2019,0,150,NA,NA
2020,3,43,16.4,21.3
2021,0,86,NA,NA
2022,7,171,18.2,67.2
2023,41,2480,97.2,673.7
2024,7,128,15.8,40.7
2025,2,171,11.2,17.1
2026,10,449,25.3,38.58
